filename,primary_label,secondary_labels,rating,time,data_year,duration,fold
barswa/XC11464.ogg,barswa,[],4.0,6:00,2021,974298,1
barswa/XC125026.ogg,barswa,[],3.5,19:59,2021,1796000,1
barswa/XC126103.ogg,barswa,[],3.5,?,2021,994360,1
barswa/XC129647.ogg,barswa,"['marwre', 'sonspa']",4.5,8:53,2021,3414176,1
barswa/XC132406.ogg,barswa,[],3.0,18:30,2021,344016,1
barswa/XC132407.ogg,barswa,[],3.0,18:30,2021,496153,1
barswa/XC133096.ogg,barswa,[],3.0,09:00,2021,369093,1
barswa/XC133802.ogg,barswa,[],3.0,09:00,2021,494481,1
barswa/XC134349.ogg,barswa,[],5.0,18:20,2021,3340783,1
barswa/XC135474.ogg,barswa,[],4.0,12:30,2021,423428,1
barswa/XC138332.ogg,barswa,[],3.0,20:09,2021,1057054,1
barswa/XC139728.ogg,barswa,[],5.0,08:30,2021,3727813,1
barswa/XC139821.ogg,barswa,[],3.0,08:00,2021,481184,1
barswa/XC141346.ogg,barswa,['moudov'],4.5,06:00,2021,782873,1
barswa/XC141678.ogg,barswa,"['rewbla', 'sonspa']",3.5,05:08,2021,4648995,1
barswa/XC142466.ogg,barswa,[],5.0,14:32,2021,1329056,1
barswa/XC142632.ogg,barswa,[],5.0,11:00,2021,3268058,1
barswa/XC142633.ogg,barswa,[],4.0,16:00,2021,1437397,1
barswa/XC142731.ogg,barswa,[],5.0,18:00,2021,1553590,1
barswa/XC142794.ogg,barswa,['houspa'],4.5,10:00,2021,2295049,1
barswa/XC142977.ogg,barswa,[],5.0,09:00,2021,1551918,1
barswa/XC143303.ogg,barswa,['houspa'],3.5,12:30,2021,2514896,1
barswa/XC144039.ogg,barswa,[],3.0,09:30,2021,2146468,1
barswa/XC146746.ogg,barswa,[],4.5,10:30,2021,675875,1
barswa/XC147144.ogg,barswa,[],4.0,11:00,2021,2683808,1
barswa/XC147199.ogg,barswa,['houspa'],4.5,07:51,2021,6594177,1
barswa/XC147276.ogg,barswa,[],4.0,08:38,2021,605600,1
barswa/XC147393.ogg,barswa,[],4.0,16:30,2021,1088819,1
barswa/XC148900.ogg,barswa,[],4.0,12:30,2021,1039500,1
barswa/XC156257.ogg,barswa,[],5.0,13:30,2021,1642197,1
barswa/XC163458.ogg,barswa,[],4.0,06:00,2021,1601237,1
barswa/XC164546.ogg,barswa,[],4.0,08:40,2021,1415072,1
barswa/XC171237.ogg,barswa,[],3.0,?,2021,981821,1
barswa/XC171238.ogg,barswa,[],3.0,?,2021,326461,1
barswa/XC177243.ogg,barswa,[],4.0,13:30,2021,2202272,1
barswa/XC178328.ogg,barswa,[],4.0,?,2021,7080682,1
barswa/XC179356.ogg,barswa,[],4.0,?,2021,1152349,1
barswa/XC181956.ogg,barswa,[],5.0,04:40,2021,3495428,1
barswa/XC182025.ogg,barswa,[],3.0,08:30,2021,677024,1
barswa/XC183791.ogg,barswa,[],4.0,14:00,2021,1804365,1
barswa/XC183794.ogg,barswa,[],4.0,14:00,2021,357390,1
barswa/XC184414.ogg,barswa,[],4.0,04:30,2021,1831115,1
barswa/XC184418.ogg,barswa,[],3.0,04:30,2021,1933932,1
barswa/XC184604.ogg,barswa,[],3.0,06:30,2021,1066249,1
barswa/XC184850.ogg,barswa,[],4.0,18:00,2021,1587026,1
barswa/XC185322.ogg,barswa,[],4.0,14:00,2021,725195,1
barswa/XC185479.ogg,barswa,[],3.0,04:30,2021,326461,1
barswa/XC185774.ogg,barswa,[],4.0,13:30,2021,595627,1
barswa/XC186084.ogg,barswa,[],3.0,14:26,2021,2718024,1
barswa/XC186847.ogg,barswa,['brebla'],3.5,06:47,2021,214448,1
barswa/XC187314.ogg,barswa,[],3.0,?,2021,1821083,1
barswa/XC187796.ogg,barswa,[],4.5,06:59,2021,2739758,1
barswa/XC188601.ogg,barswa,[],5.0,9:00,2021,356592,1
barswa/XC190143.ogg,barswa,[],4.0,08:00,2021,306399,1
barswa/XC191394.ogg,barswa,[],4.0,15:00,2021,996032,1
barswa/XC193495.ogg,barswa,[],4.0,09:30,2021,1269377,1
barswa/XC193496.ogg,barswa,[],4.0,09:30,2021,989345,1
barswa/XC193514.ogg,barswa,[],4.0,08:00,2021,1089655,1
barswa/XC194688.ogg,barswa,[],3.0,13:00,2021,1485044,1
barswa/XC197400.ogg,barswa,[],5.0,10:37,2021,1816736,1
barswa/XC197630.ogg,barswa,[],4.0,10:00,2021,1999134,1
barswa/XC206071.ogg,barswa,[],4.0,09:02,2021,276896,1
barswa/XC208240.ogg,barswa,[],4.5,15:32,2021,1743343,1
barswa/XC208241.ogg,barswa,[],4.5,15:33,2021,956744,1
barswa/XC208292.ogg,barswa,[],3.5,04:11,2021,653306,1
barswa/XC208317.ogg,barswa,[],4.0,06:35,2021,250393,1
barswa/XC208515.ogg,barswa,[],4.5,21:29,2021,1667275,1
barswa/XC209127.ogg,barswa,[],3.5,03:54,2021,1903839,1
barswa/XC210730.ogg,barswa,[],4.0,10:00,2021,1759136,1
barswa/XC211242.ogg,barswa,[],3.5,10:32,2021,685906,1
barswa/XC213364.ogg,barswa,[],4.5,?,2021,2036750,1
barswa/XC225377.ogg,barswa,[],3.5,14:00,2021,2019488,1
barswa/XC233561.ogg,barswa,[],4.0,09:00,2021,483488,1
barswa/XC234296.ogg,barswa,[],4.0,07:30,2021,260768,1
barswa/XC239627.ogg,barswa,[],4.0,18:57,2021,2039456,1
barswa/XC239628.ogg,barswa,[],4.0,19:01,2021,21593504,1
barswa/XC247566.ogg,barswa,[],4.0,07:30,2021,228659,1
barswa/XC252931.ogg,barswa,[],5.0,12:00,2021,522656,1
barswa/XC253252.ogg,barswa,[],4.0,08:30,2021,527918,1
barswa/XC253722.ogg,barswa,[],3.0,15:00,2021,4913981,1
barswa/XC253979.ogg,barswa,"['moudov', 'houfin', 'lucwar']",3.5,17:45,2021,1329180,1
barswa/XC253981.ogg,barswa,"['lucwar', 'comrav']",3.5,17:45,2021,1248932,1
barswa/XC254203.ogg,barswa,[],4.0,00:00,2021,1998298,1
barswa/XC254488.ogg,barswa,['amerob'],4.5,21:07,2021,5504268,1
barswa/XC256217.ogg,barswa,[],3.0,12:30,2021,370765,1
barswa/XC25649.ogg,barswa,[],4.0,xx:xx,2021,588104,1
barswa/XC256529.ogg,barswa,['rewbla'],3.5,08:42,2021,579745,1
barswa/XC256543.ogg,barswa,[],5.0,15:24,2021,2366938,1
barswa/XC263623.ogg,barswa,[],4.0,08:00,2021,558011,1
barswa/XC267418.ogg,barswa,[],3.0,06:30,2021,2572574,1
